trip_status,ride_hailing_app,trip_time,total_time,wait_time,trip_type,surge_multiplier,vehicle_make,driver_gender,trip_map_image_url,price_usd,distance_kms,temperature_value,humidity,wind_speed,cloudness,weather_main,weather_desc,precipitation
Completed,Uber,0:30:16,38,7,uberX,1.0,Opel,1,Saint Petersburg,5.16,10.33,18,0.55,6.95,0.1,clear-day,Clear,none
Completed,Uber,0:09:39,17,7,uberX,1.0,Volkswagen,1,Saint Petersburg,2.16,3.22,18,0.54,7.07,0.24,wind,Breezy,none
Completed,Uber,0:08:18,18,9,uberBEAUTY,1.0,Mercedes-Benz,1,Saint Petersburg,3.06,0.01,12,0.67,2.91,0.76,partly-cloudy-day,Mostly Cloudy,rain
Completed,Uber,0:03:46,8,4,uberX,1.0,Kia,1,Saint Petersburg,1.37,1.64,12,0.72,4.63,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:05:03,13,7,uberX,1.0,Dacia,1,Saint Petersburg,1.52,1.79,11,0.76,3.7,0.8,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:09:02,15,5,uberX,1.0,Kia,1,Saint Petersburg,2.23,4.33,9,0.87,4.25,0.93,partly-cloudy-day,Mostly Cloudy,none
Cancelled,Uber,0:02:14,5,2,uberX,1.3,Skoda,1,Saint Petersburg,1.33,0.02,9,0.88,5.55,1,cloudy,Overcast,rain
Completed,Uber,0:13:12,14,0,uberX,1.0,Skoda,1,Saint Petersburg,3.5,4.3,9,0.88,5.7,1,cloudy,Overcast,rain
Completed,Uber,0:24:54,35,10,uberX,1.0,Mazda,1,Saint Petersburg,4.68,10.78,10,0.88,3.22,0.98,rain,Light Rain,rain
Completed,Uber,0:29:08,36,6,uberX,1.0,Hyundai,1,Saint Petersburg,5.44,13.49,11,0.82,4.62,0.75,rain,Drizzle,rain
Completed,Gett,0:15:01,31,15,Comfort,,Kia,1,Saint Petersburg,4.78,9.27,12,0.77,3.96,0.82,partly-cloudy-day,Mostly Cloudy,rain
Completed,Gett,0:15:06,24,8,Comfort,,Hyundai,1,Saint Petersburg,4.78,7.84,10,0.86,1.9,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Gett,0:26:55,46,19,Comfort,,Hyundai,1,Saint Petersburg,7.52,17.13,12,0.76,2.53,0.97,cloudy,Overcast,none
Completed,Gett,0:22:09,31,8,Comfort,,SsangYong,1,Saint Petersburg,6.52,12.89,12,0.76,2.44,0.92,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:18:59,27,8,uberX,1.0,Volkswagen,1,Saint Petersburg,3.86,9.16,10,0.94,1.04,1,fog,Foggy,none
Completed,Gett,0:21:21,27,5,EconomyFix,,Volkswagen,1,Saint Petersburg,6.24,11.78,12,0.94,0.96,0.96,cloudy,Overcast,none
Completed,Gett,0:16:51,24,7,EconomyFix,,Kia,1,Saint Petersburg,5.07,10.66,13,0.89,2.68,0.72,partly-cloudy-day,Mostly Cloudy,none
Completed,Gett,0:30:26,54,23,EconomyFix,,Skoda,1,Saint Petersburg,5.85,12.84,13,0.9,1.62,0.54,partly-cloudy-day,Partly Cloudy,none
Completed,Gett,0:09:37,19,9,Comfort,,Kia,1,Saint Petersburg,3.01,4.88,10,0.92,2.9,0.94,cloudy,Overcast,none
Completed,Gett,0:12:42,23,10,Business,,Audi,1,Saint Petersburg,6.64,7.6,11,0.9,3.96,0.77,partly-cloudy-day,Mostly Cloudy,none
Completed,Gett,0:26:27,37,10,EconomyFix,,Volkswagen,1,Saint Petersburg,5.34,10.56,14,0.72,5.7,0.75,rain,Light Rain,rain
Completed,Uber,0:26:07,31,4,uberX,1.0,Nissan,1,Saint Petersburg,4.91,10.85,15,0.69,5.73,0.74,rain,Drizzle,rain
Completed,Gett,0:23:49,28,4,EconomyFix,,Hyundai,1,Saint Petersburg,5.34,10.71,14,0.74,6.37,0.74,partly-cloudy-day,Mostly Cloudy,rain
Completed,Uber,0:10:25,14,3,uberX,1.0,Skoda,1,Saint Petersburg,2.37,3.73,14,0.76,5.89,0.74,partly-cloudy-day,Mostly Cloudy,rain
Completed,Uber,0:15:34,18,2,uberX,1.0,Renault,1,Saint Petersburg,3.44,8.18,13,0.73,6.83,0.7,rain,Drizzle,rain
Completed,Uber,0:08:27,16,7,uberX,1.0,Hyundai,1,Saint Petersburg,2.3,4.86,7,0.72,5.83,0.82,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:14:28,22,7,uberX,1.0,Chrysler,1,Saint Petersburg,3.12,6.12,7,0.72,7.64,0.16,wind,Breezy,none
Completed,Gett,0:16:54,25,8,EconomyFix,,Hyundai,1,Saint Petersburg,4.58,7.63,6,0.71,4.49,0.88,partly-cloudy-day,Mostly Cloudy,none
Completed,Gett,0:14:52,21,6,EconomyFix,,Toyota,1,Saint Petersburg,2.06,3.44,7,0.7,6.08,0.87,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:20:04,28,7,uberX,1.0,Skoda,1,Saint Petersburg,4.17,10.3,4,0.95,1.31,0.99,cloudy,Overcast,none
Completed,Uber,0:22:25,28,5,uberX,1.0,Kia,1,Saint Petersburg,4.48,10.75,5,0.87,0.91,0.94,cloudy,Overcast,rain
Completed,Uber,0:12:15,15,2,uberX,1.0,Volkswagen,1,Saint Petersburg,2.84,6.05,4,0.69,2.09,0.91,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:11:39,22,10,uberX,1.0,Volkswagen,1,Saint Petersburg,2.76,5.92,4,0.71,2.41,0.88,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:15:45,23,7,uberX,1.0,Skoda,1,Saint Petersburg,3.7,10.04,3,0.71,2.75,0.45,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:07:45,13,5,uberX,1.0,Ford,1,Saint Petersburg,1.96,2.59,3,0.71,5.05,0.87,partly-cloudy-night,Mostly Cloudy,none
Completed,Uber,0:18:11,30,11,uberX,1.0,Saturn,1,Saint Petersburg,4.45,14.26,2,0.68,4.33,0.31,partly-cloudy-night,Partly Cloudy,none
Completed,Uber,0:16:32,24,7,uberX,1.0,Volkswagen,1,Saint Petersburg,3.84,10.77,0,0.98,1.75,0.98,cloudy,Overcast,none
Completed,Uber,0:35:06,42,6,uberX,1.0,Ford,1,Saint Petersburg,6.38,14.97,1,0.98,0.86,0.89,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:40:59,51,10,uberX,1.0,Hyundai,1,Saint Petersburg,6.99,14.5,4,0.95,5.53,0.98,cloudy,Overcast,rain
Completed,Uber,0:16:46,29,12,uberX,1.0,Renault,1,Saint Petersburg,3.86,10.8,5,0.94,5.73,1,cloudy,Overcast,rain
Completed,Uber,0:26:52,33,6,uberX,1.0,Ford,1,Saint Petersburg,4.96,10.88,0,0.94,0.67,0.91,partly-cloudy-night,Mostly Cloudy,none
Completed,Gett,1:24:48,95,10,EconomyFix,,Ford,1,Saint Petersburg,9.0,22.63,0,0.87,1.78,0.88,partly-cloudy-night,Mostly Cloudy,none
